Fitting AMICA model
Starting AMICA fitting...
Starting optimization...
Final LL: 1.514409e+06, Gradient norm: 4.950805e-10
Converged due to small gradient norm
Optimization finished after 73 iterations
Results saved to pyAMICA/sample_data/pyresults
18035 nd = 901.0117357062, D = -2.80007e+02 -2.80007e+02  ( 2.29 s,  0.4 h)
 iter    43 lrate = 0.0500000000 LL = 1514408.6257172176 nd = 75.5060303792, D = 5.39026e-06 5.39026e-06  (25.91 s,  0.3 h)
 iter    44 lrate = 0.0500000000 LL = 1514408.6257194632 nd = 68.5831382577, D = 2.24565e-06 2.24565e-06  (26.42 s,  0.3 h)
 iter    45 lrate = 0.0500000000 LL = 1514408.6257203976 nd = 62.2860366465, D = 9.34349e-07 9.34349e-07  (27.02 s,  0.3 h)
 iter    46 lrate = 0.0500000000 LL = 1514408.6257207866 nd = 56.5597330473, D = 3.89060e-07 3.89060e-07  (27.60 s,  0.3 h)
 iter    47 lrate = 0.0500000000 LL = 1514408.6257209482 nd = 51.3537891317, D = 1.61584e-07 1.61584e-07  (28.14 s,  0.3 h)
 iter    48 lrate = 0.0500000000 LL = 1514408.6257210153 nd = 46.6219937381, D = 6.70552e-08 6.70552e-08  (29.05 s,  0.3 h)
 iter    49 lrate = 0.0500000000 LL = 1514408.6257210434 nd = 42.3220497925, D = 2.81725e-08 2.81725e-08  (29.70 s,  0.3 h)
 iter    50 lrate = 0.0500000000 LL = 1514408.6257210565 nd = 38.4152766777, D = 1.30385e-08 1.30385e-08  (30.25 s,  0.3 h)
 iter    51 lrate = 0.1000000000 LL = 1514408.6257210604 nd = 34.8663289420, D = 3.95812e-09 3.95812e-09  (30.81 s,  0.3 h)
 iter    52 lrate = 0.2000000000 LL = 1514408.6257210614 nd = 28.9472650253, D = 9.31323e-10 9.31323e-10  (31.36 s,  0.3 h)
 iter    53 lrate = 0.3000000000 LL = 1514408.6257210653 nd = 20.2417979891, D = 3.95812e-09 3.95812e-09  (31.95 s,  0.3 h)
 iter    54 lrate = 0.4000000000 LL = 1514408.6257210658 nd = 12.0573202627, D = 4.65661e-10 4.65661e-10  (32.51 s,  0.3 h)
 iter    55 lrate = 0.5000000000 LL = 1514408.6257210658 nd = 6.1843523936, D = 0.00000e+00 0.00000e+00  (33.08 s,  0.3 h)
 iter    56 lrate = 0.6000000000 LL = 1514408.6257210658 nd = 2.7594108056, D = 0.00000e+00 0.00000e+00  (33.65 s,  0.3 h)
 iter    57 lrate = 0.7000000000 LL = 1514408.6257210658 nd = 1.0811702044, D = 0.00000e+00 0.00000e+00  (34.22 s,  0.3 h)
 iter    58 lrate = 0.8000000000 LL = 1514408.6257210658 nd = 0.3750884836, D = 0.00000e+00 0.00000e+00  (34.81 s,  0.3 h)
 iter    59 lrate = 0.9000000000 LL = 1514408.6257210658 nd = 0.1160570324, D = 0.00000e+00 0.00000e+00  (35.34 s,  0.3 h)
 iter    60 lrate = 1.0000000000 LL = 1514408.6257210658 nd = 0.0322288139, D = 0.00000e+00 0.00000e+00  (35.88 s,  0.3 h)
 iter    61 lrate = 1.0000000000 LL = 1514408.6257210658 nd = 0.0080774157, D = 0.00000e+00 0.00000e+00  (36.40 s,  0.3 h)
 iter    62 lrate = 1.0000000000 LL = 1514408.6257210658 nd = 0.0020239847, D = 0.00000e+00 0.00000e+00  (36.92 s,  0.3 h)
 iter    63 lrate = 1.0000000000 LL = 1514408.6257210658 nd = 0.0005071616, D = 0.00000e+00 0.00000e+00  (37.26 s,  0.3 h)
 iter    64 lrate = 1.0000000000 LL = 1514408.6257210658 nd = 0.0001270831, D = 0.00000e+00 0.00000e+00  (37.92 s,  0.3 h)
 iter    65 lrate = 1.0000000000 LL = 1514408.6257210658 nd = 0.0000318442, D = 0.00000e+00 0.00000e+00  (38.38 s,  0.3 h)
