 minimum eigenvalues =    4.87990051325027        6.92011971270703     
   7.65621479288682     
 maximum eigenvalues =    9711.14308385371        3039.68504351250     
   1244.41294470520     
 num eigs kept =           32
 minimum eigenvalues =    4.87990051325027        6.92011971270703     
   7.65621479288682     
 maximum eigenvalues =    9711.14308385371        3039.68504351250     
   1244.41294470520     
 num eigs kept =           32
 iter    40 lrate =  0.0500000000 LL =  -3.4424817152 nd =  0.0088035404, D =   0.89407E-01  0.89407E-01  (  0.02 s,   0.0 h)
 iter    41 lrate =  0.0500000000 LL =  -3.4423495880 nd =  0.0087622649, D =   0.87895E-01  0.87895E-01  (  0.19 s,   0.0 h)
 iter    42 lrate =  0.0500000000 LL =  -3.4422187614 nd =  0.0087234203, D =   0.86415E-01  0.86415E-01  (  0.12 s,   0.0 h)
 iter    43 lrate =  0.0500000000 LL =  -3.4420891745 nd =  0.0086886226, D =   0.84968E-01  0.84968E-01  (  0.03 s,   0.0 h)
 iter    44 lrate =  0.0500000000 LL =  -3.4419602448 nd =  0.0086541090, D =   0.83554E-01  0.83554E-01  (  0.03 s,   0.0 h)
 iter    45 lrate =  0.0500000000 LL =  -3.4418322509 nd =  0.0086224728, D =   0.82174E-01  0.82174E-01  (  0.05 s,   0.0 h)
 iter    46 lrate =  0.0500000000 LL =  -3.4417052223 nd =  0.0085924815, D =   0.80827E-01  0.80827E-01  (  0.03 s,   0.0 h)
 iter    47 lrate =  0.0500000000 LL =  -3.4415795589 nd =  0.0085631831, D =   0.79512E-01  0.79512E-01  (  0.02 s,   0.0 h)
 iter    48 lrate =  0.0500000000 LL =  -3.4414542249 nd =  0.0085298389, D =   0.78226E-01  0.78226E-01  (  0.01 s,   0.0 h)
 iter    49 lrate =  0.0500000000 LL =  -3.4413300139 nd =  0.0085002161, D =   0.76972E-01  0.76972E-01  (  0.01 s,   0.0 h)
 iter    50 lrate =  0.0500000000 LL =  -3.4412065573 nd =  0.0073267899, D =   0.75748E-01  0.75748E-01  (  0.02 s,   0.0 h)
 iter    51 lrate =  0.1000000000 LL =  -3.4410080146 nd =  0.0073097781, D =   0.74422E-01  0.74422E-01  (  0.04 s,   0.0 h)
 iter    52 lrate =  0.2000000000 LL =  -3.4406230880 nd =  0.0072619066, D =   0.71859E-01  0.71859E-01  (  0.02 s,   0.0 h)
 iter    53 lrate =  0.3000000000 LL =  -3.4400585237 nd =  0.0071930987, D =   0.68243E-01  0.68243E-01  (  0.02 s,   0.0 h)
 iter    54 lrate =  0.4000000000 LL =  -3.4393234094 nd =  0.0070977740, D =   0.63816E-01  0.63816E-01  (  0.02 s,   0.0 h)
 iter    55 lrate =  0.5000000000 LL =  -3.4384282881 nd =  0.0069879361, D =   0.58867E-01  0.58867E-01  (  0.02 s,   0.0 h)
 iter    56 lrate =  0.6000000000 LL =  -3.4373849983 nd =  0.0068800259, D =   0.53714E-01  0.53714E-01  (  0.02 s,   0.0 h)
 iter    57 lrate =  0.7000000000 LL =  -3.4362013890 nd =  0.0067391071, D =   0.48634E-01  0.48634E-01  (  0.02 s,   0.0 h)
 iter    58 lrate =  0.8000000000 LL =  -3.4348991103 nd =  0.0065441431, D =   0.43869E-01  0.43869E-01  (  0.02 s,   0.0 h)
 iter    59 lrate =  0.9000000000 LL =  -3.4335028580 nd =  0.0063229190, D =   0.39500E-01  0.39500E-01  (  0.02 s,   0.0 h)
 iter    60 lrate =  1.0000000000 LL =  -3.4320414991 nd =  0.0060618616, D =   0.35557E-01  0.35557E-01  (  0.02 s,   0.0 h)
 iter    61 lrate =  1.0000000000 LL =  -3.4306726503 nd =  0.0057866500, D =   0.32348E-01  0.32348E-01  (  0.12 s,   0.0 h)
 iter    62 lrate =  1.0000000000 LL =  -3.4294027101 nd =  0.0055015048, D =   0.29736E-01  0.29736E-01  (  0.03 s,   0.0 h)
