 minimum eigenvalues =    4.87990051325027        6.92011971270703     
   7.65621479288682     
 maximum eigenvalues =    9711.14308385371        3039.68504351250     
   1244.41294470520     
 num eigs kept =           32
 minimum eigenvalues =    4.87990051325027        6.92011971270703     
   7.65621479288682     
 maximum eigenvalues =    9711.14308385371        3039.68504351250     
   1244.41294470520     
 num eigs kept =           32
 iter    40 lrate =  0.0500000000 LL =  -3.4424369655 nd =  0.0087981543, D =   0.87960E-01  0.87960E-01  (  0.02 s,   0.0 h)
 iter    41 lrate =  0.0500000000 LL =  -3.4423051743 nd =  0.0087592547, D =   0.86468E-01  0.86468E-01  (  0.12 s,   0.1 h)
 iter    42 lrate =  0.0500000000 LL =  -3.4421742288 nd =  0.0087227813, D =   0.85010E-01  0.85010E-01  (  0.01 s,   0.0 h)
 iter    43 lrate =  0.0500000000 LL =  -3.4420444779 nd =  0.0086889385, D =   0.83589E-01  0.83589E-01  (  0.03 s,   0.0 h)
 iter    44 lrate =  0.0500000000 LL =  -3.4419157326 nd =  0.0086581842, D =   0.82201E-01  0.82201E-01  (  0.03 s,   0.0 h)
 iter    45 lrate =  0.0500000000 LL =  -3.4417880122 nd =  0.0086236401, D =   0.80847E-01  0.80847E-01  (  0.03 s,   0.0 h)
 iter    46 lrate =  0.0500000000 LL =  -3.4416616413 nd =  0.0085947438, D =   0.79522E-01  0.79522E-01  (  0.11 s,   0.1 h)
 iter    47 lrate =  0.0500000000 LL =  -3.4415353965 nd =  0.0085653938, D =   0.78229E-01  0.78229E-01  (  0.03 s,   0.0 h)
 iter    48 lrate =  0.0500000000 LL =  -3.4414101938 nd =  0.0085311467, D =   0.76966E-01  0.76966E-01  (  0.03 s,   0.0 h)
 iter    49 lrate =  0.0500000000 LL =  -3.4412862309 nd =  0.0085036240, D =   0.75734E-01  0.75734E-01  (  0.03 s,   0.0 h)
 iter    50 lrate =  0.0500000000 LL =  -3.4411632544 nd =  0.0073875739, D =   0.74533E-01  0.74533E-01  (  0.02 s,   0.0 h)
 iter    51 lrate =  0.1000000000 LL =  -3.4409629024 nd =  0.0073662892, D =   0.73229E-01  0.73229E-01  (  0.02 s,   0.0 h)
 iter    52 lrate =  0.2000000000 LL =  -3.4405745374 nd =  0.0073130455, D =   0.70709E-01  0.70709E-01  (  0.02 s,   0.0 h)
 iter    53 lrate =  0.3000000000 LL =  -3.4400063064 nd =  0.0072333100, D =   0.67145E-01  0.67145E-01  (  0.02 s,   0.0 h)
 iter    54 lrate =  0.4000000000 LL =  -3.4392665835 nd =  0.0071269220, D =   0.62788E-01  0.62788E-01  (  0.02 s,   0.0 h)
 iter    55 lrate =  0.5000000000 LL =  -3.4383677925 nd =  0.0070222585, D =   0.57916E-01  0.57916E-01  (  0.02 s,   0.0 h)
 iter    56 lrate =  0.6000000000 LL =  -3.4373191619 nd =  0.0068969312, D =   0.52841E-01  0.52841E-01  (  0.02 s,   0.0 h)
 iter    57 lrate =  0.7000000000 LL =  -3.4361319755 nd =  0.0067544828, D =   0.47846E-01  0.47846E-01  (  0.02 s,   0.0 h)
 iter    58 lrate =  0.8000000000 LL =  -3.4348274209 nd =  0.0065521606, D =   0.43134E-01  0.43134E-01  (  0.02 s,   0.0 h)
 iter    59 lrate =  0.9000000000 LL =  -3.4334308075 nd =  0.0063323431, D =   0.38793E-01  0.38793E-01  (  0.02 s,   0.0 h)
 iter    60 lrate =  1.0000000000 LL =  -3.4319658305 nd =  0.0060746195, D =   0.34900E-01  0.34900E-01  (  0.02 s,   0.0 h)
 iter    61 lrate =  1.0000000000 LL =  -3.4305892304 nd =  0.0058043018, D =   0.31708E-01  0.31708E-01  (  0.13 s,   0.1 h)
 iter    62 lrate =  1.0000000000 LL =  -3.4293124888 nd =  0.0055181167, D =   0.29088E-01  0.29088E-01  (  0.04 s,   0.0 h)
 iter    63 lrate =  1.0000000000 LL =  -3.4281430239 nd =  0.0052415473, D =   0.27039E-01  0.27039E-01  (  0.05 s,   0.0 h)
 iter    64 lrate =  1.0000000000 LL =  -3.4270768616 nd =  0.0049986332, D =   0.25554E-01  0.25554E-01  (  0.02 s,   0.0 h)
 iter    65 lrate =  1.0000000000 LL =  -3.4261079714 nd =  0.0047812081, D =   0.24637E-01  0.24637E-01  (  0.02 s,   0.0 h)
 iter    66 lrate =  1.0000000000 LL =  -3.4252238213 nd =  0.0046123835, D =   0.24216E-01  0.24216E-01  (  0.02 s,   0.0 h)
 iter    67 lrate =  1.0000000000 LL =  -3.4244017687 nd =  0.0044494158, D =   0.24099E-01  0.24099E-01  (  0.02 s,   0.0 h)
 iter    68 lrate =  1.0000000000 LL =  -3.4236393917 nd =  0.0042955773, D =   0.24163E-01  0.24163E-01  (  0.03 s,   0.0 h)
 iter    69 lrate =  1.0000000000 LL =  -3.4229295848 nd =  0.0041602721, D =   0.24328E-01  0.24328E-01  (  0.06 s,   0.0 h)
 iter    70 lrate =  1.0000000000 LL =  -3.4222662109 nd =  0.0040439056, D =   0.24509E-01  0.24509E-01  (  0.03 s,   0.0 h)
 iter    71 lrate =  1.0000000000 LL =  -3.4216390674 nd =  0.0039342222, D =   0.24704E-01  0.24704E-01  (  0.02 s,   0.0 h)
 iter    72 lrate =  1.0000000000 LL =  -3.4210454855 nd =  0.0038515248, D =   0.24936E-01  0.24936E-01  (  0.02 s,   0.0 h)
 iter    73 lrate =  1.0000000000 LL =  -3.4204748019 nd =  0.0037732092, D =   0.25200E-01  0.25200E-01  (  0.02 s,   0.0 h)
 iter    74 lrate =  1.0000000000 LL =  -3.4199242617 nd =  0.0037088926, D =   0.25493E-01  0.25493E-01  (  0.02 s,   0.0 h)
 iter    75 lrate =  1.0000000000 LL =  -3.4193897555 nd =  0.0036438915, D =   0.25798E-01  0.25798E-01  (  0.02 s,   0.0 h)
 iter    76 lrate =  1.0000000000 LL =  -3.4188700247 nd =  0.0035856330, D =   0.26153E-01  0.26153E-01  (  0.02 s,   0.0 h)
 iter    77 lrate =  1.0000000000 LL =  -3.4183635755 nd =  0.0035353653, D =   0.26519E-01  0.26519E-01  (  0.02 s,   0.0 h)
 iter    78 lrate =  1.0000000000 LL =  -3.4178693941 nd =  0.0034784384, D =   0.26909E-01  0.26909E-01  (  0.02 s,   0.0 h)
 iter    79 lrate =  1.0000000000 LL =  -3.4173907262 nd =  0.0034143313, D =   0.27312E-01  0.27312E-01  (  0.02 s,   0.0 h)
 iter    80 lrate =  1.0000000000 LL =  -3.4169275182 nd =  0.0033409974, D =   0.27734E-01  0.27734E-01  (  0.02 s,   0.0 h)
 iter    81 lrate =  1.0000000000 LL =  -3.4164839499 nd =  0.0032505994, D =   0.28190E-01  0.28190E-01  (  0.13 s,   0.1 h)
 iter    82 lrate =  1.0000000000 LL =  -3.4160637638 nd =  0.0031527270, D =   0.28678E-01  0.28678E-01  (  0.02 s,   0.0 h)
